,Dip,BI,Kurtosis,DropOutRate,MeanNZ,DenPeak,Amplitude,gaussian_prob1,gaussian_prob2,gaussian_mean1,gaussian_mean2,gaussian_variance,mean,variance,unimodal_margin_quantile,unimodal_low_quantile,unimodal_high_quantile,IQR,q50,bim_thresh_down,bim_thresh_up,Category,dor_threshold
Zfp758,0.0,2.656695535764243,0.4246730686442528,0.41002415458937197,3.3923668244941463,0.03237843648256744,10.114595524,0.8029723848551729,0.19702761514482503,0.7167571155447623,7.23694652521129,0.9529378175868378,2.0014144852239015,7.683442396849378,0.25,0.0,2.340562941215,2.340562941215,0.8340566487655,3.69163609806,4.63589687208,Bimodal,0.95
Gja1,0.0,1.996230634888921,0.3295464657853522,0.14432367149758454,2.9480500361373574,1.4350314073414907,10.7922835935,0.799770927809761,0.20022907219024066,1.4862819433563945,6.661827514593081,1.076424539111644,2.522576631163427,5.3691504817394655,0.25,1.0481640943500001,3.0359984304675,1.9878343361175,1.7856463092850001,3.74517445579,4.97823970174,Bimodal,0.95
9030619P08Rik,0.0,2.8491506812510528,-1.4489434520229127,0.1817632850241546,4.4798338308691195,0.7217133128386077,10.6798288738,0.6139456614855812,0.3860543385144202,1.1549904356938958,7.658152895608417,1.2348003475951659,3.6655645174080056,11.265291961395155,0.25,0.7716321350055,7.2435011460525,6.471869011047,2.07089369493,3.93533413823,5.16731418713,Bimodal,0.95
Zfp382,0.9917862380040547,2.407695544081771,-0.278175754336933,0.8846618357487923,2.666864837716838,-0.002165421842370896,8.91118848101,0.962582920275772,0.037417079724228065,0.08989801004183995,5.907917113909954,0.21030770716158073,2.6668648377168376,6.133902670585345,0.25,0.850269477284,4.451822955115,3.6015534778310005,1.40286168061,2.93478885144,3.23398713877,Unimodal,
Prtn3,0.008336953372092837,1.4231332872902178,-0.8460545275599571,0.009057971014492754,6.883088823316965,8.401757398814462,13.2909914541,0.3676856064122318,0.6323143935877684,3.493875157825182,8.755287645311455,3.1777757423150965,6.82074200426518,9.61956041172908,0.25,4.0811818218875,9.0398729687725,4.958691146884999,7.34076653243,4.01288400548,7.58578993541,Unimodal,0.95
Gmnn,0.0,2.355950635217457,-1.4906262020893333,0.04468599033816425,5.632385968598103,8.484589083722023,10.7062173917,0.4588678196383299,0.54113218036167,2.1964480549960124,8.0808683208547,1.5490518532705253,5.380697223624516,10.153200584553714,0.25,2.287590781565,8.3504007551675,6.0628099736025005,6.1463641651700005,4.31889427899,5.87466705132,Bimodal,0.95
Zdhhc13,0.0,2.322226878027067,-1.5072761631062113,0.10205314009661835,4.7336335203242,1.5028662218916824,10.3780238091,0.5614161264948816,0.4385838735051192,1.710544503769409,7.50192673458335,1.5314143281484098,4.250551355508506,9.795845434174636,0.25,1.4150296668600002,7.5054782982549995,6.090448631394999,3.4576932843500003,3.89206093718,5.44975775256,Bimodal,0.95
Sod1,0.9946967705512416,0.22380028400757063,1.476736951730242,0.0,9.231038977804287,9.269039690004647,9.43621086378,0.46761285444032563,0.5323871455596741,8.94410837519349,9.483059409236885,1.4437478632791854,9.231038977804287,1.5169762860222642,0.25,8.5124871526325,9.922503731325,1.410016578692499,9.22794487647,-inf,inf,Unimodal,0.95
Lrrn4,0.9090368748769151,2.2344344080737906,0.6343980551578849,0.8152173913043478,2.3955592260672516,0.008334371992364864,10.6069384397,0.9529376126433041,0.04706238735669596,0.15818842146238743,6.2027024716996415,0.3281904844615471,2.3955592260672516,5.984834494714651,0.25,0.75237539494625,3.462886977155,2.71051158220875,1.2481366278100001,3.17721252842,3.5218836635,Unimodal,
Npnt,0.9973142738358164,0.8226546894391654,61.33290601563523,0.9051932367149759,1.031260517204032,0.004125681452656349,10.8166911468,0.9975845410601826,0.0024154589398174033,0.08440577504622417,5.617390200167672,0.1090016595021996,1.031260517204032,0.9713282959927658,0.25,0.633868943715,1.17136672952,0.5374977858050001,0.852454645767,2.58811664906,3.45350185943,Unimodal,
Mrgpre,0.009283402414072883,2.1942646641945287,0.2949505655344926,0.7892512077294686,2.6235357495537306,0.010209345689617622,9.03727983261,0.9539521211416245,0.04604787885837497,0.23354936614754324,7.168887810979854,0.43882716883900164,2.6235357495537306,6.694551175957642,0.25,0.884514747659,3.18694160398,2.302426856321,1.46098503782,3.64145074309,4.37989774305,Bimodal,
Fam105a,0.0,2.434178885337091,-0.9968086569501442,0.18840579710144928,3.88447655425336,0.9492645366571755,10.9593159998,0.6908675712799958,0.3091324287200107,1.2664213955096038,7.368004671737587,1.341897914470392,3.1526186527273645,9.298562535636565,0.25,0.76511505581775,6.177311836507501,5.412196780689751,1.80006815816,3.82885082394,5.1722674323,Bimodal,0.95
Paip2b,0.0,1.8526870304975982,0.942855736218541,0.15519323671497584,2.7627482165003467,1.4161313907944348,10.7574150494,0.8324693842777151,0.16753061572228137,1.45291641166621,6.712086283921066,1.123809580532064,2.3339883785531312,4.98423871922802,0.25,0.9324611960545001,2.7938207361850003,1.8613595401305,1.67236914263,3.76523882126,5.05366256522,Bimodal,0.95
Tead3,0.9936510706545026,1.7256404541327044,3.6237992222636963,0.8188405797101449,1.7308222581367632,0.00011473212383461551,10.1485699107,0.9688739963716724,0.03112600362832811,0.1619783602587973,5.031745724549833,0.24016320283698953,1.7308222581367634,2.8298139042264667,0.25,0.71747150240425,1.7611647399775001,1.0436932375732502,1.09978227987,2.55021797746,2.96729073644,Unimodal,
Plppr3,0.0,2.3187839487391373,-1.5398631178761364,0.11594202898550725,4.864263273193727,1.0780430039573983,10.4896598456,0.5302155190588919,0.46978448094110764,1.5199119958982334,7.438325303872704,1.6227107428298262,4.300290719779962,10.35388768288092,0.25,1.2463352598175,7.533187394797499,6.286852134979999,3.792331595775,3.70153276024,5.32018459548,Bimodal,0.95
Hdgf,0.970356804314738,1.379314046225087,0.4240869690617828,0.0006038647342995169,7.884339343582126,8.553213264226299,11.8952481243,0.17202620753816447,0.8279737924618377,4.087640022897723,8.667420543398096,1.5702695853341295,7.879578269099287,4.560472745885328,0.25,7.030835679235,9.2673793130425,2.2365436338075,8.33957055314,4.80835887865,6.86687844768,Unimodal,0.95
Zfp655,0.0,2.3754387007978113,-1.1900046052143165,0.1793478260869565,4.114937488980023,0.8875141841893199,10.4531057042,0.653966800698767,0.3460331993012336,1.2968659016749753,7.308041992215319,1.4491212156314075,3.376932395847736,9.631906940882416,0.25,0.82596225946625,6.556679521305,5.73071726183875,2.0291028028099998,3.74035568047,5.2485175267,Bimodal,0.95
Casd1,0.0,2.0555751326647567,-1.3087831000684134,0.05615942028985507,4.501951837210977,1.7026944672519906,10.9152808309,0.5786846513282821,0.42131534867171727,2.0184707730275275,7.312970643173309,1.617455787099291,4.24912483186036,8.456942731217856,0.25,1.7076197335425,7.0255365357474995,5.317916802205,3.407845166785,3.85815712822,5.66082914065,Bimodal,0.95
Tnfaip3,0.042955817960238174,2.146853053708519,0.06182301081389019,0.6521739130434783,2.6935089153570764,0.003089285252717844,10.1694229727,0.9114203034529483,0.08857969654705224,0.38402295765581124,6.625291895190279,0.6823293340810151,2.6935089153570764,6.282506190707273,0.25,0.9142798526305,3.8414981777675,2.927218325137,1.49851922353,3.35412897437,4.18280456668,Bimodal,
Fstl1,0.0006288834094791973,2.2457850257291216,0.7168181112971506,0.4667874396135266,2.473362573421208,0.010465092071165194,10.2737431454,0.8948552324738828,0.10514476752611644,0.6387371719452926,7.106874717865325,0.7804814344780089,2.4733625734212086,5.997360488936585,0.25,0.887055393961,2.6151370882849996,1.7280816943239996,1.39278665826,3.6905293239,4.62192975273,Bimodal,
Usp25,0.0,1.9288748693551152,-1.394546047231294,0.06159420289855073,5.078648765174778,7.9548456801668435,10.5584395908,0.4972418448901409,0.5027581551098588,2.1386797365333585,7.364161768892855,1.8347267834493644,4.765833442682129,8.66616786860252,0.25,2.0567996512375,7.596716884195,5.5399172329574995,4.789049261075,3.71232068243,5.82030335511,Bimodal,0.95
Btbd10,0.0,2.3442881624590908,0.29180048479543474,0.35144927536231885,3.237217930129025,0.07267049955634919,9.84157604416,0.7966760426379883,0.2033239573619998,0.8522646454626843,6.986492038607553,1.109093255434179,2.0995000343952737,7.208675693550615,0.25,0.0,2.680697897215,2.680697897215,1.0472870192000001,3.60641079912,4.7783231986,Bimodal,0.95
Memo1,0.0,2.1682362169971676,-1.4053487705505043,0.03683574879227053,5.814731160953027,8.413052093309545,11.2800878127,0.4423295974554607,0.5576704025445403,2.3794425788780553,8.155432466521855,1.7505045965648016,5.600541184613574,9.986091591070853,0.25,2.54951457265,8.447965661597499,5.898451088947498,6.35098403742,4.29639412327,6.10525616913,Bimodal,0.95
Cdkn1c,0.0,2.782243200724912,-1.0766276511924426,0.7240338164251208,3.2963729264727393,-0.00276200507558344,9.82050926082,0.9095740907341129,0.09042590926588703,0.28100593101057864,7.233454960846631,0.5135898274108347,3.2963729264727397,8.418318826474483,0.25,0.987366935172,6.58378344841,5.596416513238,1.79370847636,3.61913139491,4.36573278662,Bimodal,
Gm2a,0.0004446223498407731,1.8281193520402081,-0.4524014199241706,0.010869565217391304,6.839313611563259,8.654164356455677,11.8717447898,0.24315480188304797,0.7568451981169507,2.5022491496399057,8.134476330556222,1.7467918084961567,6.764973246220181,7.589188449703082,0.25,5.21910110347,8.835137929544999,3.616036826074999,7.701396356575,4.03690764779,5.88361749,Bimodal,0.95
Scin,0.06053532224722935,2.195049585931997,1.9909603754342413,0.658816425120773,2.317651596026414,0.0037825284427395744,11.8941804633,0.9426915714629305,0.05730842853706984,0.3788622386674669,7.565979887914228,0.5791738717584636,2.317651596026414,6.34911762048911,0.25,0.823142572098,2.14323565281,1.3200930807120002,1.31280947006,3.79950620092,4.58255297997,Unimodal,
Gm16485,0.3521474633209216,2.4944226426698712,-0.32137429576213794,0.9365942028985508,2.7318082616528954,0.0061205272688124035,9.08002628046,0.9836837624967975,0.016316237503202616,0.0612599158265178,6.922680295980584,0.12144048615580785,2.7318082616528954,6.908704548948192,0.25,0.817211916806,4.58446706212,3.767255145314,1.46318905546,3.49218015841,4.58446706212,Unimodal,
Slc16a2,0.977560524754533,1.5923237676703423,7.0476911568680904,0.6020531400966184,1.6359619996885888,-0.004865898838649185,9.07298295491,0.9680151353243196,0.03198486467568106,0.4469628911576721,6.826950788833922,0.4970540536024816,1.6359619996885888,2.808941395920511,0.25,0.7819644087290001,1.642343081405,0.8603786726759999,1.12620558644,3.63862324393,4.54317783413,Unimodal,
Gsr,0.0,2.2184425747613297,-1.4201479712525373,0.059178743961352656,5.3961300905702885,7.753675371894861,10.4450126255,0.4307913960709978,0.5692086039290027,1.9236532629323966,7.463170067248258,1.52892387540247,5.076793889558278,9.05897394658425,0.25,2.113459931605,7.7679559484150005,5.6544960168100005,5.94407666261,3.79950620092,5.4424130164,Bimodal,0.95
