,Dip,BI,Kurtosis,DropOutRate,MeanNZ,DenPeak,Amplitude,gaussian_prob1,gaussian_prob2,gaussian_mean1,gaussian_mean2,gaussian_variance,mean,variance,unimodal_margin_quantile,unimodal_low_quantile,unimodal_high_quantile,IQR,q50,bim_thresh_down,bim_thresh_up,Category
4933416C03Rik,0.7169822721501791,0.9836298919261834,24.801342397619518,0.9758454106280193,1.1030096776194251,-0.007049151119493086,8.13394694563,0.9903875944148172,0.009612405585182966,0.009093463501701617,1.8347844603077152,0.032796567312296715,1.103009677619425,1.5222795358492922,0.25,0.5765827919905,1.197154257365,0.6205714653745,0.827488918894,0.934515498772,1.11532015945,Discarded
Klhl25,0.0,2.6552123072806335,-0.8629576342497152,0.6497584541062802,3.081321199463952,0.002823111542264778,10.1287263516,0.8891445099517237,0.1108554900482766,0.35150161532502455,6.91594948031945,0.6024589486398391,3.0813211994639516,7.691364838447765,0.25,0.9612522259555001,5.8492423348375,4.887990108882001,1.577406378405,3.48091197632,4.22243386822,Bimodal
Tmem229b,0.0,2.0047387031780057,-1.2654755226963308,0.09118357487922706,4.2406840071681335,1.6402656636478932,10.7474487998,0.6423020036312479,0.3576979963687516,1.8663510730423256,7.423139835062602,1.765175983005002,4.2406840071681335,8.113859752098692,0.25,1.70678090756,7.03435634132,5.32757543376,3.22747938993,3.88730473298,5.78147767928,Bimodal
Asb5,0.8523032080558723,1.60152959902809,7.664797341986194,0.9728260869565217,1.5474034437516666,-0.008877026499720775,8.44714977364,0.997584541062806,0.0024154589371940243,0.02600382552216015,6.668708801565228,0.04145427834461084,1.5474034437516666,3.1795793207374974,0.25,0.714599949363,1.64587650917,0.9312765598070001,0.858320801579,2.14573540679,3.54551288499,Discarded
Fndc3a,0.0,1.9392821657986488,-1.273553975985578,0.09541062801932366,4.240205273230291,1.6905138240114195,11.0346618232,0.6052316300689197,0.3947683699310793,1.7849015577626328,6.979702417253842,1.7144300303164113,4.240205273230291,7.312433465726692,0.25,1.78977666817,6.783291639815,4.993514971645,3.6646527561499997,3.54739806863,5.51070857352,Bimodal
Btla,0.3729758303080354,2.2949606098964908,0.5047975675704026,0.7765700483091788,2.4905217966616244,0.0031434661879266024,9.65193010311,0.9498082480675372,0.050191751932462905,0.22220386415964505,6.881730333830672,0.4014250949909318,2.4905217966616244,6.45994563233227,0.25,0.78313098110225,2.7704317220425,1.9873007409402499,1.32469451742,3.42424885857,3.94058765249,Unimodal
Rab37,0.0,2.4051941998605413,-1.5517665255861544,0.0464975845410628,5.163715808135376,7.964313788997667,11.421202395,0.47909880779414865,0.5209011922058515,1.9154629110714592,7.690363467529301,1.4386964302442662,5.163715808135376,9.003408461280204,0.25,2.03394132242,7.914266226225,5.8803249038050005,5.87129569404,4.03048000396,5.5201265184,Bimodal
Gas6,9.443699392153171e-06,2.952942707306051,-0.8439007033013599,0.7711352657004831,3.0569041839793485,0.023150653244182307,9.52325675398,0.9285009766535733,0.07149902334642672,0.20311217841617435,7.147338297753157,0.3671302250918007,3.0569041839793485,8.408183033795625,0.25,0.8772391135185,5.875348272755,4.9981091592365,1.47118075273,3.22225470856,4.04648538896,Bimodal
Dhx57,2.4147646807026746e-05,2.2359376041041834,-0.6520709758280208,0.3943236714975845,2.9417454978608415,0.03001045301684835,10.4227268557,0.8173046133190599,0.18269538668093274,0.7434104360003978,6.42683351195286,0.9647441278710961,2.9417454978608415,6.149804872178886,0.25,1.027283830125,5.244599348035,4.21731551791,1.72785000863,3.31231961298,4.42567339498,Bimodal
Pnpla8,0.0,2.4040703524789766,-1.464609566193148,0.22161835748792272,4.059794193456028,0.44687848889146986,10.1665412621,0.6586681179880974,0.34133188201190323,1.1394441914602909,7.059269404367138,1.363223049490852,4.059794193456029,8.22709485743291,0.25,1.38473126019,6.9338810957,5.549149835510001,2.99939000001,3.56755983639,4.93973375308,Bimodal
Tmem184b,4.695670534959895e-06,2.4120550187250642,-1.1715181697042791,0.48792270531400966,3.4618569561958057,0.02192909824863043,9.67556917946,0.8041881910687962,0.19581180893120892,0.5824907729638896,6.661018816044679,1.0000437516815361,3.4618569561958052,7.4763265449607195,0.25,1.1081447954225,6.120907869845,5.0127630744225,2.23309253768,3.35888941037,4.40820283555,Bimodal
Tnfrsf19,0.9911509725372204,0.6266507074645767,46.923196496649496,0.6485507246376812,1.1944209026836425,-0.00832361960869027,9.99769496068,0.9969806632799374,0.003019336720062608,0.39797659554749565,7.618690016946141,0.39967541358772013,1.1944209026836425,0.659681476893163,0.25,0.7711675958805,1.4411324966625,0.6699649007820001,1.061724457995,3.73462120182,5.41734879954,Unimodal
Arl6ip1,0.8065159622077842,1.1465779889177259,3.3608551342324393,0.0,8.486475688906824,9.137661475838254,11.00105503068,0.07471631584529452,0.9252836841547059,4.185926672978785,8.833743434015503,1.1360073687829695,8.486475688906824,2.63103811940853,0.25,7.961131354932499,9.4728445155575,1.5117131606249998,8.78268034564,5.17288632563,6.64945533127,Unimodal
Cldn13,0.0,2.1860523431621695,0.12191897373707627,0.28683574879227053,3.4991999838594605,0.06365681887955121,12.0278043744,0.8490202676990098,0.15097973230099135,1.3150971439178774,9.133412717852707,1.6396153964267652,3.4991999838594605,9.7820809071044,0.25,1.36508634853,4.10772156639,2.74263521786,2.15839773718,4.93062084124,6.34847715489,Bimodal
Srbd1,0.02863883941074874,2.109897267693017,-1.1226705828191257,0.32004830917874394,3.5781562508057947,0.17829149324695193,9.7905763728,0.7242546844556236,0.27574531554437814,0.9124492080166882,6.426683173295578,1.3641031589247419,3.5781562508057947,6.845441856175133,0.25,1.281499089745,5.93893345515,4.657434365405,2.52521984418,3.17311497706,4.64137719526,Bimodal
Mesdc2,0.0,2.17292343135574,-1.1036392197408587,0.011473429951690822,6.428340630062131,8.531104020421019,10.8664022023,0.3387808937547606,0.6612191062452386,2.775122011516068,8.188552247898036,1.3903384908140266,6.428340630062131,7.577791509209229,0.25,3.74866423793,8.65882794482,4.910163706890001,7.59762555909,4.54696896558,6.08541616234,Bimodal
Meis1,0.0,1.95294502097157,-1.3021195804613837,0.0018115942028985507,6.370671935653371,8.724962507348934,11.954265856,0.3976203006286803,0.6023796993713191,3.329974049185778,8.358624279732766,1.5880409623890444,6.370671935653371,7.58976163776692,0.25,3.65740093836,8.74151973821,5.08411879985,7.00222914138,4.78429183608,6.65499777686,Bimodal
Pgf,0.4039750335898319,1.2171333422845638,10.054748305114147,0.9782608695652174,1.4885717094306665,0.0011342476420865832,8.85809153507,0.9915606868110239,0.008439313188976035,0.009338810377805725,2.7372200561060622,0.042034027540885484,1.4885717094306667,2.705451349008751,0.25,0.57353981331775,1.64464338142,1.07110356810225,0.8540291952115,1.33116041523,1.50639074107,Discarded
Pkd2,2.2381821417227776e-05,2.3489469038846433,0.0002974406426701215,0.42693236714975846,2.6834442755539407,0.018464828231316455,9.51232346097,0.8680155951549373,0.13198440484506693,0.6932237395498919,7.09224732357675,0.8502197086237239,2.683444275553941,6.602299205395683,0.25,0.914656856763,3.37841410891,2.463757252147,1.44545007195,3.66044706542,4.60238845837,Bimodal
Rfesd,0.0,2.7298056336216545,-1.5913144627211724,0.2288647342995169,4.193363991555212,0.4953976592213425,10.5510659901,0.6505640223881439,0.3494359776118563,1.068182980957882,7.265220531722693,1.171554411712788,4.193363991555211,8.82301723052027,0.25,1.37969485523,7.26134395232,5.8816490970899995,2.95007253694,3.72684899307,4.87019448346,Bimodal
Trim62,0.5479231139024716,1.4793715660421778,7.46831605243451,0.4522946859903382,1.7227727743885437,0.013351848217311169,9.53912724025,0.9619640157206978,0.03803598427930279,0.7016914875719481,7.060941034413378,0.6760996123619266,1.7227727743885435,2.596481420863094,0.25,0.8820398568225,1.80843882344,0.9263989666175,1.27799635359,3.88220004079,4.80911225818,Unimodal
Arhgap27,0.0,2.5874693202165684,-1.3175301003884403,0.3526570048309179,3.717315182730107,0.23004512489755324,10.3649671438,0.7542250275472189,0.2457749724527813,0.8117793359262182,7.299822412631877,1.165508987770128,3.717315182730107,8.989680687222977,0.25,1.1184535105875,6.9607903395475,5.84233682896,2.2978987452,3.71086017067,4.83375910034,Bimodal
Ccr1,0.9930607863663473,1.4099756735604827,14.963716903114282,0.731280193236715,1.3952096528948181,-0.001671670781462825,9.4191368897,0.9891286563049266,0.010871343695073355,0.29043337119094936,8.061974727895903,0.3266834215273296,1.395209652894818,2.2140161379391685,0.25,0.741129092802,1.46749875164,0.726369658838,1.01004348799,4.12073843288,6.52737231865,Unimodal
Ifi30,0.0,2.4449577704724477,-1.1504884820512205,0.2669082125603865,3.8187604572663525,0.31204518280389437,11.6683901943,0.7334641605079935,0.26653583949201426,1.112222807954616,7.442625220936819,1.3105525015461377,3.8187604572663525,8.589058030059602,0.25,1.38632923632,6.7381855138075,5.3518562774875,2.3837047679100003,3.84575268604,5.11943973051,Bimodal
Mat2a,0.9156656429914075,1.491943056575611,1.6641871802413295,0.0,8.834647620534867,9.77244863785903,11.1052669624,0.12812351551951864,0.8718764844804835,4.552037604322265,9.463983381555181,1.2108391198854314,8.834647620534867,3.9083988978539104,0.25,8.267153205637499,10.174509974925,1.9073567692875013,9.323383231874999,5.79856428848,7.30441213516,Unimodal
Prdm4,5.796348780617855e-06,2.169697489862712,-0.5340928757841197,0.21014492753623187,3.099339892139877,1.2372887065460905,9.89365239004,0.7828564938350735,0.2171435061649262,1.2030033822008985,6.936658396270091,1.1871176124000513,3.0993398921398767,6.564639858436104,0.25,1.1923507919,5.01072072697,3.8183699350699998,1.90262947353,3.72145400529,4.96140268646,Bimodal
Zfp868,0.0,2.303363553549569,-1.107233496502948,0.19806763285024154,3.691513684864535,1.1579182030444812,10.1448372789,0.7224523844864152,0.27754761551357837,1.290337167889522,7.30734847129929,1.3683065400600685,3.6915136848645345,8.06575755981383,0.25,1.3651266279025003,6.634563570879999,5.269436942977499,2.33143283498,3.84453291125,5.19237283501,Bimodal
Lrrc66,0.5160185516674016,2.1755482878448027,1.6264723965783547,0.8882850241545893,2.1440377459330326,-0.00136002562609161,9.19329801418,0.980072425102421,0.019927574897578865,0.10510941743477158,6.8501202004636825,0.18773293179839187,2.1440377459330326,5.580925901339065,0.25,0.726823579812,2.00864847563,1.2818248958179999,1.10510631463,3.30001550748,3.92733082816,Unimodal
